City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
410,Dubai,AE,25.2582,55.3047,75.13,73,71,2.3,broken clouds
411,Cabo San Lucas,MX,22.8909,-109.9124,73.71,73,0,4.61,clear sky
412,Miquelon,PM,47.0975,-56.3814,33.8,72,99,17.16,overcast clouds
413,Wodonga,AU,-36.1167,146.8833,81.1,46,17,3.29,few clouds
414,Poum,NC,-20.2333,164.0167,82.0,81,100,14.76,overcast clouds
415,Arlit,NE,18.7369,7.3853,66.34,26,4,6.53,clear sky
416,Ternate,ID,0.8,127.4,83.23,74,100,5.61,overcast clouds
417,Busayra,JO,30.7376,35.6078,49.41,46,0,4.76,clear sky
418,Bongaree,AU,-27.0797,153.1586,64.53,88,100,31.12,light rain
419,Durant,US,33.994,-96.3708,40.51,59,0,3.44,clear sky
420,Mandalgovi,MN,45.7625,106.2708,1.69,44,0,11.27,clear sky
421,Leh,IN,34.1667,77.5833,19.17,58,33,0.11,scattered clouds
422,Erzin,TR,36.9559,36.2,59.11,73,89,4.0,overcast clouds
423,Trebisov,SK,48.6286,21.7195,36.99,90,52,7.09,broken clouds
424,Ankang,CN,32.68,109.0172,36.45,63,98,0.4,overcast clouds
425,Mudgee,AU,-32.5943,149.5871,69.78,39,100,9.35,overcast clouds
426,Damghan,IR,36.1683,54.348,43.56,70,85,3.91,overcast clouds
427,Bengkulu,ID,-3.8004,102.2655,81.48,67,95,2.91,overcast clouds
428,Moron,AR,-34.6534,-58.6198,71.29,83,75,17.27,thunderstorm with rain
429,Natchitoches,US,31.7668,-93.1335,45.45,61,0,5.75,clear sky
430,Tougue,GN,11.4667,-11.6,67.03,45,72,2.46,broken clouds
431,Requena,ES,39.4883,-1.1004,45.79,85,100,3.22,overcast clouds
432,Biak,ID,-0.9131,122.8766,82.35,68,100,2.19,overcast clouds
433,Troitskoye,RU,52.9821,84.6757,-6.84,83,1,7.07,clear sky
