City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
462,San Andres,CO,82.42,12.5847,-81.7006,Hotel Decameron Isleño
463,Daru,PG,86.45,-9.0763,143.2092,Kuki
465,Cabinda,AO,76.6,-5.55,12.2,Hotel Mayombe
469,Sungaipenuh,ID,76.46,-2.0833,101.3833,Hotel Matahari
470,Harindanga,IN,77.63,22.0383,88.3214,No hotel found
471,Cairns,AU,84.07,-16.9167,145.7667,Cairns Queens Court Accommodation
477,Karimganj,IN,76.5,24.8667,92.35,No hotel found
484,Bathsheba,BB,79.41,13.2167,-59.5167,Atlantis Hotel
492,Pemangkat,ID,81.23,1.1667,108.9667,Hotel Kelapa Gading
513,Esperance,AU,85.06,-33.8667,121.9,Best Western
525,Kahului,US,78.96,20.8947,-156.47,Maui Seaside Hotel
526,Saint-Georges,GD,78.48,12.0564,-61.7485,Deyna's City Inn
535,Lamu,KE,77.72,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
549,Chabahar,IR,75.33,25.2919,60.643,هتل سپیده
552,Touros,BR,77.61,-5.1989,-35.4608,Pousada Atlântico
557,Pointe Michel,DM,77.29,15.25,-61.3833,Sibouli Valley
